symbol,ltp,bid_price,ask_price,volume,open,high,low,previous_close,change,change_percent,average_traded_price,ltq,atp,bid_quantity,ask_quantity,total_bid_quantity,total_ask_quantity,liquidity_pass,volume_liquidity_pass,depth_ltp,depth_volume,depth_atp,spread_percent,depth_available,spread_pass
NSE:HITECH-EQ,77.75,77.75,0.0,3099037,84.15,84.76,77.28,84.18,-6.43,-7.64,79.33,2.0,79.33,4.0,0.0,4.0,0.0,False,True,,,,,,
NSE:HLEGLAS-EQ,326.45,0.0,326.45,2273511,351.0,366.0,321.0,379.6,-53.15,-14.0,343.07,1.0,343.07,0.0,3396.0,0.0,3396.0,False,True,,,,,,
NSE:HPAL-EQ,40.42,0.0,40.42,1285237,41.5,42.6,39.25,38.94,1.48,3.8,41.38,400.0,41.38,0.0,17988.0,0.0,17988.0,False,True,,,,,,
NSE:HUDCO-EQ,192.73,192.73,0.0,2361586,195.8,196.8,191.25,195.77,-3.04,-1.55,193.78,56.0,193.78,85.0,0.0,85.0,0.0,False,True,,,,,,
NSE:ICIL-EQ,404.35,0.0,404.35,2410797,423.0,445.15,389.45,423.2,-18.85,-4.45,413.8,1.0,413.8,0.0,530.0,0.0,530.0,False,True,,,,,,
NSE:IDBI-EQ,82.46,82.46,0.0,3078680,82.44,83.44,82.2,82.44,0.02,0.02,82.67,100.0,82.67,2647.0,0.0,2647.0,0.0,False,True,,,,,,
NSE:IDFCFIRSTB-EQ,85.8,0.0,85.8,16618607,83.61,85.8,83.61,84.27,1.53,1.82,85.06,10.0,85.06,0.0,24573.0,0.0,24573.0,False,True,,,,,,
NSE:IEX-EQ,125.95,0.0,125.95,2436267,127.0,127.19,123.9,126.0,-0.05,-0.04,125.06,2.0,125.06,0.0,5033.0,0.0,5033.0,False,True,,,,,,
NSE:IFCI-EQ,73.51,0.0,73.51,14279371,75.0,75.29,72.71,75.7,-2.19,-2.89,73.73,2190.0,73.73,0.0,8219.0,0.0,8219.0,False,True,,,,,,
NSE:INDSWFTLAB-EQ,300.0,300.0,0.0,8635452,302.9,320.5,293.0,284.68,15.32,5.38,304.88,30.0,304.88,14798.0,0.0,14798.0,0.0,False,True,,,,,,
NSE:INDUSTOWER-EQ,383.4,383.4,0.0,10079537,370.0,385.2,369.75,369.35,14.05,3.8,376.54,15.0,376.54,6209.0,0.0,6209.0,0.0,False,True,,,,,,
NSE:INOXWIND-EQ,74.0,0.0,74.0,8299658,74.27,74.84,73.55,74.4,-0.4,-0.54,74.04,54.0,74.04,0.0,11743.0,0.0,11743.0,False,True,,,,,,
NSE:IOB-EQ,33.84,0.0,0.0,3192118,34.3,34.51,33.71,34.21,-0.37,-1.08,34.14,1000.0,34.14,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:IOC-EQ,140.6,140.6,0.0,10106894,140.63,142.05,139.29,140.0,0.6,0.43,140.54,25.0,140.54,117.0,0.0,117.0,0.0,False,True,,,,,,
NSE:IOLCP-EQ,158.42,158.42,0.0,2000252,163.99,164.14,157.27,164.14,-5.72,-3.48,159.63,1.0,159.63,5.0,0.0,5.0,0.0,False,True,,,,,,
NSE:IRCON-EQ,126.18,126.18,0.0,1396832,128.14,129.38,125.77,128.14,-1.96,-1.53,126.79,1.0,126.79,963.0,0.0,963.0,0.0,False,True,,,,,,
NSE:IREDA-EQ,117.8,117.8,0.0,4344077,118.69,119.0,117.0,118.7,-0.9,-0.76,117.68,100.0,117.68,1893.0,0.0,1893.0,0.0,False,True,,,,,,
NSE:IRFC-EQ,88.26,88.26,0.0,5812334,87.91,88.35,87.49,87.91,0.35,0.4,87.9,98.0,87.9,8602.0,0.0,8602.0,0.0,False,True,,,,,,
NSE:ITBEES-EQ,34.65,34.65,0.0,13117804,35.24,35.51,34.43,35.24,-0.59,-1.67,34.71,500.0,34.71,4530.0,0.0,4530.0,0.0,False,True,,,,,,
NSE:ITC-EQ,276.15,276.15,0.0,12630816,279.0,279.55,275.4,279.0,-2.85,-1.02,277.27,20.0,277.27,11257.0,0.0,11257.0,0.0,False,True,,,,,,
NSE:ITCHOTELS-EQ,168.32,0.0,168.32,1579629,167.0,168.96,166.25,166.89,1.43,0.86,167.72,64.0,167.72,0.0,936.0,0.0,936.0,False,True,,,,,,
NSE:ITIETF-EQ,34.68,0.0,34.68,2350345,35.52,35.52,34.47,35.23,-0.55,-1.56,34.73,220.0,34.73,0.0,780.0,0.0,780.0,False,True,,,,,,
NSE:J&KBANK-EQ,157.48,0.0,157.48,1408763,157.19,157.94,155.26,156.86,0.62,0.4,156.9,50.0,156.9,0.0,8993.0,0.0,8993.0,False,True,,,,,,
NSE:JAINREC-EQ,303.0,0.0,303.0,1065167,298.95,306.0,297.0,297.75,5.25,1.76,302.62,50.0,302.62,0.0,767.0,0.0,767.0,False,True,,,,,,
NSE:JAMNAAUTO-EQ,123.76,123.76,0.0,2078458,125.4,127.62,123.3,125.51,-1.75,-1.39,125.09,2.0,125.09,1025.0,0.0,1025.0,0.0,False,True,,,,,,
NSE:JAYNECOIND-EQ,90.67,0.0,90.67,2518788,92.7,93.66,89.57,93.0,-2.33,-2.51,91.04,125.0,91.04,0.0,2869.0,0.0,2869.0,False,True,,,,,,
NSE:JINDWORLD-EQ,36.74,0.0,36.74,7686074,35.65,37.46,35.65,36.38,0.36,0.99,36.64,50.0,36.64,0.0,885.0,0.0,885.0,False,True,,,,,,
NSE:JIOFIN-EQ,256.05,0.0,256.05,13290344,252.75,256.05,249.0,252.75,3.3,1.31,252.05,3.0,252.05,0.0,10314.0,0.0,10314.0,False,True,,,,,,
NSE:JMFINANCIL-EQ,129.67,0.0,129.67,4221891,126.1,130.13,126.1,126.17,3.5,2.77,128.76,100.0,128.76,0.0,3999.0,0.0,3999.0,False,True,,,,,,
NSE:JNPR-EQ,252.9,252.9,0.0,1388456,257.0,257.9,246.14,255.91,-3.01,-1.18,252.85,10.0,252.85,1011.0,0.0,1011.0,0.0,False,True,,,,,,
NSE:JSWINFRA-EQ,346.6,346.6,0.0,8419123,341.85,355.0,339.0,341.85,4.75,1.39,349.36,32.0,349.36,998.0,0.0,998.0,0.0,False,True,,,,,,
NSE:JTLIND-EQ,75.44,75.44,0.0,1019870,76.79,77.43,75.05,76.79,-1.35,-1.76,76.07,1000.0,76.07,21.0,0.0,21.0,0.0,False,True,,,,,,
NSE:JUBLFOOD-EQ,484.7,0.0,484.7,3122764,487.0,489.0,477.25,488.2,-3.5,-0.72,481.65,105.0,481.65,0.0,95.0,0.0,95.0,False,True,,,,,,
NSE:JYOTHYLAB-EQ,200.27,0.0,200.27,3414689,203.5,203.5,190.11,204.04,-3.77,-1.85,196.18,1.0,196.18,0.0,726.0,0.0,726.0,False,True,,,,,,
NSE:KARURVYSYA-EQ,338.8,338.8,0.0,1752090,332.5,340.0,332.4,334.2,4.6,1.38,336.78,40.0,336.78,1953.0,0.0,1953.0,0.0,False,True,,,,,,
NSE:KEC-EQ,441.8,441.8,0.0,1598645,450.8,453.7,439.85,450.75,-8.95,-1.99,445.2,5.0,445.2,167.0,0.0,167.0,0.0,False,True,,,,,,
NSE:KIRIINDUS-EQ,434.45,434.45,0.0,1842255,429.95,449.45,417.05,426.7,7.75,1.82,438.02,10.0,438.02,2347.0,0.0,2347.0,0.0,False,True,,,,,,
NSE:KISSHT-EQ,292.75,0.0,292.75,1254071,295.05,298.5,289.0,295.45,-2.7,-0.91,293.6,1.0,293.6,0.0,4596.0,0.0,4596.0,False,True,,,,,,
NSE:KNACK-EQ,202.67,202.67,0.0,1201243,206.78,210.29,201.0,206.78,-4.11,-1.99,204.1,3.0,204.1,6346.0,0.0,6346.0,0.0,False,True,,,,,,
NSE:KNRCON-EQ,133.57,133.57,0.0,1269079,136.84,137.14,131.47,136.84,-3.27,-2.39,133.47,10.0,133.47,890.0,0.0,890.0,0.0,False,True,,,,,,
NSE:KOTAKBANK-EQ,390.5,0.0,390.5,10733474,391.0,394.25,387.5,392.9,-2.4,-0.61,390.34,694.0,390.34,0.0,1306.0,0.0,1306.0,False,True,,,,,,
NSE:KPIGREEN-EQ,337.2,337.2,0.0,1775887,348.0,352.75,335.1,350.9,-13.7,-3.9,342.41,17.0,342.41,39.0,0.0,39.0,0.0,False,True,,,,,,
NSE:KTKBANK-EQ,313.7,313.7,0.0,3017208,303.5,314.0,301.2,302.85,10.85,3.58,310.46,6.0,310.46,314.0,0.0,314.0,0.0,False,True,,,,,,
NSE:KWIL-EQ,36.4,0.0,36.4,33564531,34.85,36.75,34.24,34.84,1.56,4.48,35.93,677.0,35.93,0.0,77532.0,0.0,77532.0,False,True,,,,,,
NSE:LASERPOWER-EQ,281.55,0.0,281.55,1179002,289.95,289.95,279.3,289.05,-7.5,-2.59,283.4,10.0,283.4,0.0,3175.0,0.0,3175.0,False,True,,,,,,
NSE:LEMONTREE-EQ,109.16,0.0,0.0,2941490,109.5,110.5,107.89,109.36,-0.2,-0.18,108.8,10.0,108.8,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:LICI-EQ,417.0,0.0,417.0,20957554,409.0,417.0,404.7,406.0,11.0,2.71,411.56,4.0,411.56,0.0,103829.0,0.0,103829.0,False,True,,,,,,
NSE:LIQUIDCASE-EQ,115.43,0.0,115.43,14897272,115.42,115.44,115.42,115.41,0.02,0.02,115.42,866.0,115.42,0.0,499134.0,0.0,499134.0,False,True,,,,,,
NSE:LLOYDSENGG-EQ,92.41,92.41,0.0,7926085,93.75,94.25,91.0,93.04,-0.63,-0.68,92.38,50.0,92.38,28990.0,0.0,28990.0,0.0,False,True,,,,,,
NSE:LLOYDSENT-EQ,77.89,0.0,77.89,3241276,80.0,80.0,77.0,80.48,-2.59,-3.22,78.24,259.0,78.24,0.0,41.0,0.0,41.0,False,True,,,,,,
NSE:LTF-EQ,317.2,317.2,0.0,4688109,315.0,317.2,309.75,315.4,1.8,0.57,312.74,94.0,312.74,1504.0,0.0,1504.0,0.0,False,True,,,,,,
NSE:M&MFIN-EQ,395.85,0.0,0.0,4492168,398.35,410.0,392.5,398.8,-2.95,-0.74,397.05,161.0,397.05,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:MAHABANK-EQ,81.87,81.87,0.0,26570514,78.85,81.99,78.75,78.95,2.92,3.7,81.26,25.0,81.26,311.0,0.0,311.0,0.0,False,True,,,,,,
NSE:MANALIPETC-EQ,67.39,0.0,67.39,1189183,65.5,69.28,65.5,65.53,1.86,2.84,67.46,10.0,67.46,0.0,2436.0,0.0,2436.0,False,True,,,,,,
NSE:MANAPPURAM-EQ,352.6,352.6,0.0,31501308,369.95,369.95,351.0,360.0,-7.4,-2.06,358.54,20.0,358.54,29584.0,0.0,29584.0,0.0,False,True,,,,,,
NSE:MANINFRA-EQ,108.55,,,5029976,113.0,116.49,107.11,111.36,-2.81,-2.52,112.75,,,,,,,,True,,,,,False,
NSE:MARKSANS-EQ,312.6,,,47809908,280.0,320.0,277.45,278.95,33.65,12.06,310.93,,,,,,,,True,,,,,False,
NSE:MARSONS-EQ,103.16,,,1976838,102.89,104.76,100.25,102.19,0.97,0.95,102.45,,,,,,,,True,,,,,False,
NSE:MEESHO-EQ,191.89,,,8383592,190.75,194.17,190.44,190.41,1.48,0.78,192.16,,,,,,,,True,,,,,False,
NSE:MIDHANI-EQ,408.45,,,2359127,427.75,438.6,400.15,427.75,-19.3,-4.51,420.47,,,,,,,,True,,,,,False,
NSE:MMTC-EQ,64.43,,,1977239,65.8,66.2,64.01,64.98,-0.55,-0.85,65.07,,,,,,,,True,,,,,False,
NSE:MODEFENCE-EQ,105.7,,,1269680,106.23,106.31,104.58,105.17,0.53,0.5,105.33,,,,,,,,True,,,,,False,
NSE:MOIL-EQ,280.55,,,1135494,280.0,288.95,278.15,279.45,1.1,0.39,283.39,,,,,,,,True,,,,,False,
NSE:MOL-EQ,57.29,,,2268227,56.88,59.65,56.0,57.15,0.14,0.24,57.99,,,,,,,,True,,,,,False,
NSE:MOM30IETF-EQ,31.85,,,1336756,31.87,31.96,31.7,31.65,0.2,0.63,31.82,,,,,,,,True,,,,,False,
NSE:MOREPENLAB-EQ,73.46,,,13287951,77.09,77.57,72.56,76.89,-3.43,-4.46,74.98,,,,,,,,True,,,,,False,
NSE:MOTHERSON-EQ,169.5,,,15747026,170.1,171.83,168.62,169.26,0.24,0.14,169.96,,,,,,,,True,,,,,False,
NSE:MRPL-EQ,175.38,,,10085904,180.24,180.78,173.22,181.14,-5.76,-3.18,177.76,,,,,,,,True,,,,,False,
NSE:MSUMI-EQ,41.04,,,9094596,41.01,41.2,40.56,41.01,0.03,0.07,40.95,,,,,,,,True,,,,,False,
NSE:MUFIN-EQ,135.4,,,2414696,139.99,139.99,132.0,135.98,-0.58,-0.43,135.78,,,,,,,,True,,,,,False,
NSE:MUKANDLTD-EQ,135.56,,,1701821,140.01,143.8,134.39,140.61,-5.05,-3.59,139.07,,,,,,,,True,,,,,False,
NSE:NATIONALUM-EQ,420.0,,,34388331,398.5,422.2,398.5,388.0,32.0,8.25,416.63,,,,,,,,True,,,,,False,
NSE:NBCC-EQ,92.17,,,11484423,93.8,94.14,90.9,93.8,-1.63,-1.74,92.32,,,,,,,,True,,,,,False,
NSE:NCC-EQ,143.41,,,1041362,144.82,145.38,143.01,144.76,-1.35,-0.93,143.69,,,,,,,,True,,,,,False,
NSE:NHPC-EQ,76.85,,,7294107,76.65,76.85,76.0,76.95,-0.1,-0.13,76.35,,,,,,,,True,,,,,False,
NSE:NIACL-EQ,181.09,,,2560837,180.0,187.1,178.72,179.37,1.72,0.96,182.66,,,,,,,,True,,,,,False,
NSE:NIFTYBEES-EQ,278.32,,,5635248,279.93,279.93,277.0,279.13,-0.81,-0.29,277.86,,,,,,,,True,,,,,False,
NSE:NLCINDIA-EQ,276.75,,,2980168,286.95,286.95,274.5,286.05,-9.3,-3.25,279.29,,,,,,,,True,,,,,False,
NSE:NMDC-EQ,85.9,,,18266091,85.87,86.07,84.89,85.45,0.45,0.53,85.38,,,,,,,,True,,,,,False,
NSE:NSLNISP-EQ,44.0,,,2802778,44.2,44.65,43.7,44.15,-0.15,-0.34,44.13,,,,,,,,True,,,,,False,
NSE:NTPC-EQ,339.45,,,10152704,338.45,341.35,335.35,338.45,1.0,0.3,337.65,,,,,,,,True,,,,,False,
NSE:NTPCGREEN-EQ,92.46,,,1946814,93.01,93.24,91.7,93.01,-0.55,-0.59,92.22,,,,,,,,True,,,,,False,
NSE:NYKAA-EQ,328.05,,,3832007,325.9,328.05,321.6,325.0,3.05,0.94,325.52,,,,,,,,True,,,,,False,
NSE:OIL-EQ,472.0,,,2772626,471.9,475.55,466.65,470.35,1.65,0.35,471.23,,,,,,,,True,,,,,False,
NSE:OLAELEC-EQ,39.86,,,40404612,39.85,40.81,39.29,39.66,0.2,0.5,39.86,,,,,,,,True,,,,,False,
NSE:ONEPOINT-EQ,59.99,,,1859092,59.16,60.95,57.0,58.87,1.12,1.9,60.02,,,,,,,,True,,,,,False,
NSE:ONGC-EQ,239.05,,,10695237,240.0,241.33,238.65,239.45,-0.4,-0.17,239.52,,,,,,,,True,,,,,False,
NSE:PAISALO-EQ,68.75,,,5772773,68.9,69.7,68.5,69.31,-0.56,-0.81,69.24,,,,,,,,True,,,,,False,
NSE:PANAMAPET-EQ,480.55,,,11231024,555.6,599.6,456.45,545.5,-64.95,-11.91,528.04,,,,,,,,True,,,,,False,
NSE:PARACABLES-EQ,68.22,,,1708709,67.98,69.36,65.45,67.89,0.33,0.49,67.28,,,,,,,,True,,,,,False,
NSE:PARADEEP-EQ,147.18,,,3085716,152.0,152.7,146.61,151.8,-4.62,-3.04,148.92,,,,,,,,True,,,,,False,
NSE:PATANJALI-EQ,352.6,,,4146144,352.95,353.6,342.15,353.0,-0.4,-0.11,346.08,,,,,,,,True,,,,,False,
NSE:PETRONET-EQ,279.85,,,1408161,277.0,281.9,277.0,277.0,2.85,1.03,279.88,,,,,,,,True,,,,,False,
NSE:PFC-EQ,376.5,,,12028949,381.0,381.65,375.3,381.0,-4.5,-1.18,377.39,,,,,,,,True,,,,,False,
NSE:PINELABS-EQ,169.93,,,19985559,168.52,171.05,164.51,167.58,2.35,1.4,167.9,,,,,,,,True,,,,,False,
NSE:PNB-EQ,118.98,,,51235935,113.95,119.5,113.72,114.03,4.95,4.34,118.0,,,,,,,,True,,,,,False,
NSE:POWERGRID-EQ,269.45,,,6699919,267.95,270.0,266.3,267.95,1.5,0.56,268.08,,,,,,,,True,,,,,False,
NSE:PPLPHARMA-EQ,210.24,,,2720946,214.2,216.96,209.0,214.19,-3.95,-1.84,212.24,,,,,,,,True,,,,,False,
NSE:PSUBNKBEES-EQ,98.27,,,3997530,96.45,98.59,96.08,96.45,1.82,1.89,98.03,,,,,,,,True,,,,,False,
NSE:PTC-EQ,165.41,,,2677463,172.03,172.07,165.05,171.95,-6.54,-3.8,167.29,,,,,,,,True,,,,,False,
NSE:PWL-EQ,123.9,,,3295580,125.95,127.4,123.21,125.52,-1.62,-1.29,124.77,,,,,,,,True,,,,,False,
NSE:RADHIKAJWE-EQ,72.37,,,1844671,73.3,74.62,71.02,71.54,0.83,1.16,72.28,,,,,,,,True,,,,,False,
NSE:RAIN-EQ,209.38,,,6310349,203.7,211.29,200.15,202.92,6.46,3.18,207.85,,,,,,,,True,,,,,False,
NSE:RALLIS-EQ,209.41,,,1372270,212.0,212.1,207.53,211.5,-2.09,-0.99,209.13,,,,,,,,True,,,,,False,
NSE:RATNAVEER-EQ,210.01,,,4209276,207.0,216.5,206.01,206.16,3.85,1.87,210.77,,,,,,,,True,,,,,False,
NSE:RBA-EQ,93.82,,,5706033,93.0,95.35,92.32,92.65,1.17,1.26,93.78,,,,,,,,True,,,,,False,
NSE:RBLBANK-EQ,389.8,,,2289848,389.7,390.2,384.45,389.7,0.1,0.03,387.63,,,,,,,,True,,,,,False,
NSE:RECLTD-EQ,346.0,,,11330857,344.7,347.2,339.0,344.7,1.3,0.38,342.94,,,,,,,,True,,,,,False,
NSE:REDINGTON-EQ,339.4,,,3024132,355.0,356.2,338.0,354.55,-15.15,-4.27,345.92,,,,,,,,True,,,,,False,
NSE:RELIGARE-EQ,237.5,,,1145480,227.35,240.5,226.2,227.35,10.15,4.46,233.53,,,,,,,,True,,,,,False,
NSE:RHIM-EQ,385.9,,,5130721,420.0,420.0,385.0,415.55,-29.65,-7.14,396.13,,,,,,,,True,,,,,False,
NSE:RICOAUTO-EQ,127.99,,,8766179,143.0,145.44,124.92,144.19,-16.2,-11.24,132.3,,,,,,,,True,,,,,False,
NSE:ROLEXRINGS-EQ,173.01,,,14359357,177.21,177.29,170.01,177.29,-4.28,-2.41,173.79,,,,,,,,True,,,,,False,
NSE:RPPINFRA-EQ,58.78,,,1216276,60.3,60.3,58.3,58.56,0.22,0.38,58.52,,,,,,,,True,,,,,False,
NSE:RSL-EQ,155.92,,,1172456,156.0,159.0,152.8,153.31,2.61,1.7,156.16,,,,,,,,True,,,,,False,
NSE:RTNINDIA-EQ,30.26,,,2641745,30.68,31.02,30.02,30.68,-0.42,-1.37,30.45,,,,,,,,True,,,,,False,
NSE:RVNL-EQ,230.0,,,5612306,231.16,233.67,227.65,230.0,0.0,0.0,230.19,,,,,,,,True,,,,,False,
NSE:SAGILITY-EQ,43.31,,,12081362,43.02,43.5,42.69,43.02,0.29,0.67,43.1,,,,,,,,True,,,,,False,
NSE:SAIL-EQ,174.0,,,18936094,172.69,175.9,171.16,173.0,1.0,0.58,173.62,,,,,,,,True,,,,,False,
NSE:SAMMAANCAP-EQ,160.79,,,6698353,164.8,164.8,158.66,163.4,-2.61,-1.6,161.03,,,,,,,,True,,,,,False,
NSE:SAPPHIRE-EQ,231.74,,,3516974,236.98,238.89,226.7,236.02,-4.28,-1.81,233.28,,,,,,,,True,,,,,False,
NSE:SBC-EQ,40.19,,,43595847,41.49,42.06,33.56,41.51,-1.32,-3.18,38.12,,,,,,,,True,,,,,False,
NSE:SBFC-EQ,94.01,,,4553086,93.8,94.75,93.47,93.84,0.17,0.18,94.19,,,,,,,,True,,,,,False,
NSE:SBISILVER-EQ,231.39,,,1320008,227.0,231.66,227.0,227.88,3.51,1.54,230.19,,,,,,,,True,,,,,False,
NSE:SCI-EQ,298.8,,,2156081,294.0,300.95,293.35,293.95,4.85,1.65,297.9,,,,,,,,True,,,,,False,
NSE:SDBL-EQ,71.5,,,1604785,69.81,71.9,69.15,73.52,-2.02,-2.75,70.72,,,,,,,,True,,,,,False,
