symbol,ltp,bid_price,ask_price,volume,open,high,low,previous_close,change,change_percent,average_traded_price,ltq,atp,bid_quantity,ask_quantity,total_bid_quantity,total_ask_quantity,liquidity_pass,volume_liquidity_pass,depth_ltp,depth_volume,depth_atp,spread_percent,depth_available,spread_pass
NSE:VBL-EQ,440.5,,,1837489,439.15,440.5,434.0,437.0,3.5,0.8,436.4,,,,,,,,True,,,,,False,
NSE:VEDL-EQ,275.8,,,10568708,276.25,281.0,273.0,275.0,0.8,0.29,276.02,,,,,,,,True,,,,,False,
NSE:VEDPOWER-EQ,36.75,,,22883820,36.5,37.15,36.36,36.61,0.14,0.38,36.71,,,,,,,,True,,,,,False,
NSE:VGUARD-EQ,331.75,,,1980024,323.8,336.7,321.9,324.3,7.45,2.3,332.42,,,,,,,,True,,,,,False,
NSE:VIDYAWIRES-EQ,92.81,,,1171868,97.8,97.8,92.81,97.69,-4.88,-5.0,93.64,,,,,,,,True,,,,,False,
NSE:VIKRAMSOLR-EQ,159.58,,,1311248,161.86,161.86,158.44,160.61,-1.03,-0.64,159.42,,,,,,,,True,,,,,False,
NSE:VIKRAN-EQ,66.12,,,7668032,67.0,68.88,65.5,73.64,-7.52,-10.21,67.47,,,,,,,,True,,,,,False,
NSE:VINCOFE-EQ,146.42,,,1172226,148.82,150.2,146.0,149.0,-2.58,-1.73,148.07,,,,,,,,True,,,,,False,
NSE:VISL-EQ,39.08,,,65157004,38.8,40.7,38.55,38.81,0.27,0.7,39.58,,,,,,,,True,,,,,False,
NSE:VIYASH-EQ,262.75,,,2076289,262.7,267.8,258.55,261.45,1.3,0.5,262.27,,,,,,,,True,,,,,False,
NSE:VMM-EQ,108.0,,,11426190,111.0,111.0,105.45,110.25,-2.25,-2.04,107.35,,,,,,,,True,,,,,False,
NSE:VOGL-EQ,38.4,,,71829639,39.7,40.26,38.0,39.67,-1.27,-3.2,38.88,,,,,,,,True,,,,,False,
NSE:VPRPL-EQ,37.25,,,2270413,40.31,40.4,35.55,40.69,-3.44,-8.45,37.1,,,,,,,,True,,,,,False,
NSE:WALCHANNAG-EQ,232.26,,,1300831,237.4,242.0,229.4,232.8,-0.54,-0.23,236.31,,,,,,,,True,,,,,False,
NSE:WANBURY-EQ,262.75,,,2576174,243.5,271.95,230.0,254.3,8.45,3.32,251.29,,,,,,,,True,,,,,False,
NSE:WEBELSOLAR-EQ,85.29,,,4071727,85.29,87.8,85.29,89.77,-4.48,-4.99,85.66,,,,,,,,True,,,,,False,
NSE:WEL-EQ,135.04,,,1436570,134.5,139.6,131.5,134.5,0.54,0.4,136.32,,,,,,,,True,,,,,False,
NSE:WELSPUNLIV-EQ,165.23,,,2292744,159.99,165.8,159.26,159.66,5.57,3.49,163.17,,,,,,,,True,,,,,False,
NSE:WIPRO-EQ,183.94,,,8624548,184.51,185.0,181.91,184.6,-0.66,-0.36,183.05,,,,,,,,True,,,,,False,
NSE:YATRA-EQ,118.99,,,8462912,115.0,120.4,113.15,114.31,4.68,4.09,118.29,,,,,,,,True,,,,,False,
NSE:ZEEL-EQ,97.52,,,45453756,92.5,98.85,90.26,91.56,5.96,6.51,95.16,,,,,,,,True,,,,,False,
